,Team,Conf.,Current Elo,Last,Season Min.,Season Max.,Home Court*
235,U Miami (FL),ACC,1399.921,+15 🟢@@14.54296875,1380.546,1636.782,26.2807
236,Presbyterian,Big South,1398.369,-10 🟠@@-9.60559082,1285.896,1476.026,46.26944
237,Rice,AAC,1398.183,-16 🟠@@-15.81811523,1398.183,1576.8,14.25385
238,William & Mary,CAA,1396.428,-50 🟠@@-50.18188477,1285.241,1513.19,54.85731
239,Sacred Heart,MAAC,1396.223,-8 🟠@@-8.307739258,1290.557,1422.02,41.15137
240,Georgia St.,Sun Belt,1394.24,-8 🟠@@-7.801269531,1280.823,1416.178,42.45334
241,Southern,SWAC,1393.848,-22 🟠@@-21.89294434,1235.31,1431.116,70.22598
242,Georgia Southern,Sun Belt,1393.576,-24 🟠@@-24.01367188,1318.438,1431.339,59.99618
243,Ohio,MAC,1391.82,-18 🟠@@-17.95874023,1391.82,1508.555,92.58991
244,Hawaii,Big West,1389.386,-3 🟠@@-2.650146484,1389.386,1536.376,29.28248
245,Albany,ASEC,1389.31,-7 🟠@@-6.588867188,1334.114,1432.985,38.11592
246,Central Michigan,MAC,1388.883,-27 🟠@@-26.74890137,1362.794,1443.655,44.0152
247,South Dakota,Summit,1388.73,-29 🟠@@-29.33984375,1295.518,1418.07,57.45559
248,Tarleton St.,WAC,1386.514,-7 🟠@@-6.817993164,1374.991,1604.437,60.45855
249,Northwestern St.,Southland,1386.043,-8 🟠@@-7.599975586,1229.984,1393.643,41.61274
250,Navy,Patriot,1384.677,-30 🟠@@-29.62316895,1196.068,1414.3,27.67292
251,Tennessee St.,OVC,1380.653,-10 🟠@@-10.30944824,1221.274,1390.962,51.80651
252,Longwood,Big South,1377.17,-10 🟠@@-10.34814453,1364.666,1552.377,51.21104
253,UC Davis,Big West,1374.812,-17 🟠@@-16.62341309,1357.008,1548.304,43.14877
254,Jackson St.,SWAC,1374.809,+20 🟢@@19.7421875,1210.022,1374.809,60.783
255,Cal State Bakersfield,Big West,1373.247,-9 🟠@@-9.069824219,1356.062,1464.084,55.12241
256,Idaho,Big Sky,1370.718,-10 🟠@@-9.822998047,1251.213,1399.115,41.91103
